Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_mobilenet1.0_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 2][Batch 499], Speed: 189.563 samples/sec, CrossEntropy=4.532, SmoothL1=4.364
[Epoch 2][Batch 599], Speed: 161.864 samples/sec, CrossEntropy=4.532, SmoothL1=4.378
[Epoch 2][Batch 699], Speed: 176.717 samples/sec, CrossEntropy=4.524, SmoothL1=4.368
[Epoch 2][Batch 799], Speed: 162.575 samples/sec, CrossEntropy=4.517, SmoothL1=4.358
[Epoch 2][Batch 899], Speed: 157.022 samples/sec, CrossEntropy=4.512, SmoothL1=4.365
[Epoch 2][Batch 999], Speed: 197.063 samples/sec, CrossEntropy=4.507, SmoothL1=4.363
[Epoch 2][Batch 1099], Speed: 141.942 samples/sec, CrossEntropy=4.502, SmoothL1=4.379
[Epoch 2][Batch 1199], Speed: 140.165 samples/sec, CrossEntropy=4.496, SmoothL1=4.349
[Epoch 2][Batch 1299], Speed: 176.795 samples/sec, CrossEntropy=4.493, SmoothL1=4.356
[Epoch 2][Batch 1399], Speed: 214.619 samples/sec, CrossEntropy=4.491, SmoothL1=4.346
[Epoch 2][Batch 1499], Speed: 148.267 samples/sec, CrossEntropy=4.486, SmoothL1=4.343
[Epoch 2][Batch 1599], Speed: 185.092 samples/sec, CrossEntropy=4.482, SmoothL1=4.351
[Epoch 2][Batch 1699], Speed: 205.170 samples/sec, CrossEntropy=4.480, SmoothL1=4.348
[Epoch 2][Batch 1799], Speed: 174.217 samples/sec, CrossEntropy=4.478, SmoothL1=4.336
[Epoch 2][Batch 1899], Speed: 180.964 samples/sec, CrossEntropy=4.475, SmoothL1=4.332
[Epoch 2][Batch 1999], Speed: 187.976 samples/sec, CrossEntropy=4.470, SmoothL1=4.333
[Epoch 2][Batch 2099], Speed: 184.635 samples/sec, CrossEntropy=4.465, SmoothL1=4.336
[Epoch 2][Batch 2199], Speed: 196.785 samples/sec, CrossEntropy=4.461, SmoothL1=4.336
[Epoch 2][Batch 2299], Speed: 182.816 samples/sec, CrossEntropy=4.458, SmoothL1=4.332
[Epoch 2][Batch 2399], Speed: 154.730 samples/sec, CrossEntropy=4.455, SmoothL1=4.324
[Epoch 2][Batch 2499], Speed: 165.493 samples/sec, CrossEntropy=4.452, SmoothL1=4.326
[Epoch 2][Batch 2599], Speed: 199.975 samples/sec, CrossEntropy=4.450, SmoothL1=4.327
[Epoch 2][Batch 2699], Speed: 188.651 samples/sec, CrossEntropy=4.445, SmoothL1=4.321
