Namespace(batch_size=32, data_shape=300, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='vgg16_atrous', num_workers=32, resume='', save_interval=10, save_prefix='ssd_300_vgg16_atrous_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 2][Batch 399], Speed: 156.273 samples/sec, CrossEntropy=4.781, SmoothL1=2.672
[Epoch 2][Batch 499], Speed: 156.126 samples/sec, CrossEntropy=4.772, SmoothL1=2.663
[Epoch 2][Batch 599], Speed: 145.140 samples/sec, CrossEntropy=4.770, SmoothL1=2.685
[Epoch 2][Batch 699], Speed: 197.472 samples/sec, CrossEntropy=4.762, SmoothL1=2.680
[Epoch 2][Batch 799], Speed: 175.316 samples/sec, CrossEntropy=4.753, SmoothL1=2.668
[Epoch 2][Batch 899], Speed: 164.927 samples/sec, CrossEntropy=4.746, SmoothL1=2.669
[Epoch 2][Batch 999], Speed: 179.912 samples/sec, CrossEntropy=4.738, SmoothL1=2.664
[Epoch 2][Batch 1099], Speed: 152.334 samples/sec, CrossEntropy=4.729, SmoothL1=2.659
[Epoch 2][Batch 1199], Speed: 139.020 samples/sec, CrossEntropy=4.719, SmoothL1=2.653
[Epoch 2][Batch 1299], Speed: 200.989 samples/sec, CrossEntropy=4.715, SmoothL1=2.656
[Epoch 2][Batch 1399], Speed: 187.334 samples/sec, CrossEntropy=4.711, SmoothL1=2.654
[Epoch 2][Batch 1499], Speed: 170.683 samples/sec, CrossEntropy=4.703, SmoothL1=2.653
[Epoch 2][Batch 1599], Speed: 149.017 samples/sec, CrossEntropy=4.698, SmoothL1=2.655
[Epoch 2][Batch 1699], Speed: 131.269 samples/sec, CrossEntropy=4.691, SmoothL1=2.652
[Epoch 2][Batch 1799], Speed: 159.242 samples/sec, CrossEntropy=4.685, SmoothL1=2.650
[Epoch 2][Batch 1899], Speed: 125.374 samples/sec, CrossEntropy=4.678, SmoothL1=2.647
[Epoch 2][Batch 1999], Speed: 187.628 samples/sec, CrossEntropy=4.670, SmoothL1=2.648
[Epoch 2][Batch 2099], Speed: 189.522 samples/sec, CrossEntropy=4.662, SmoothL1=2.647
[Epoch 2][Batch 2199], Speed: 179.452 samples/sec, CrossEntropy=4.655, SmoothL1=2.643
[Epoch 2][Batch 2299], Speed: 110.844 samples/sec, CrossEntropy=4.649, SmoothL1=2.639
[Epoch 2][Batch 2399], Speed: 166.657 samples/sec, CrossEntropy=4.643, SmoothL1=2.638
[Epoch 2][Batch 2499], Speed: 154.477 samples/sec, CrossEntropy=4.639, SmoothL1=2.637
[Epoch 2][Batch 2599], Speed: 123.792 samples/sec, CrossEntropy=4.634, SmoothL1=2.634
[Epoch 2][Batch 2699], Speed: 181.498 samples/sec, CrossEntropy=4.627, SmoothL1=2.630
[Epoch 2][Batch 2799], Speed: 138.784 samples/sec, CrossEntropy=4.621, SmoothL1=2.626
[Epoch 2][Batch 2899], Speed: 124.381 samples/sec, CrossEntropy=4.616, SmoothL1=2.625
[Epoch 2][Batch 2999], Speed: 193.096 samples/sec, CrossEntropy=4.609, SmoothL1=2.621
[Epoch 2][Batch 3099], Speed: 165.339 samples/sec, CrossEntropy=4.604, SmoothL1=2.621
[Epoch 2][Batch 3199], Speed: 146.804 samples/sec, CrossEntropy=4.599, SmoothL1=2.619
[Epoch 2][Batch 3299], Speed: 209.072 samples/sec, CrossEntropy=4.592, SmoothL1=2.615
[Epoch 2][Batch 3399], Speed: 151.263 samples/sec, CrossEntropy=4.587, SmoothL1=2.614
[Epoch 2][Batch 3499], Speed: 220.776 samples/sec, CrossEntropy=4.582, SmoothL1=2.612
[Epoch 2][Batch 3599], Speed: 204.273 samples/sec, CrossEntropy=4.577, SmoothL1=2.610
[Epoch 2] Training cost: 782.208, CrossEntropy=4.575, SmoothL1=2.611
[Epoch 3][Batch 99], Speed: 116.759 samples/sec, CrossEntropy=4.373, SmoothL1=2.542
[Epoch 3][Batch 199], Speed: 95.196 samples/sec, CrossEntropy=4.386, SmoothL1=2.546
[Epoch 3][Batch 299], Speed: 118.449 samples/sec, CrossEntropy=4.378, SmoothL1=2.538
[Epoch 3][Batch 399], Speed: 161.024 samples/sec, CrossEntropy=4.372, SmoothL1=2.524
[Epoch 3][Batch 499], Speed: 186.484 samples/sec, CrossEntropy=4.375, SmoothL1=2.526
[Epoch 3][Batch 599], Speed: 126.687 samples/sec, CrossEntropy=4.367, SmoothL1=2.526
[Epoch 3][Batch 699], Speed: 173.343 samples/sec, CrossEntropy=4.366, SmoothL1=2.519
[Epoch 3][Batch 799], Speed: 167.988 samples/sec, CrossEntropy=4.361, SmoothL1=2.524
[Epoch 3][Batch 899], Speed: 163.007 samples/sec, CrossEntropy=4.361, SmoothL1=2.527
[Epoch 3][Batch 999], Speed: 119.103 samples/sec, CrossEntropy=4.356, SmoothL1=2.527
[Epoch 3][Batch 1099], Speed: 172.703 samples/sec, CrossEntropy=4.350, SmoothL1=2.524
[Epoch 3][Batch 1199], Speed: 156.122 samples/sec, CrossEntropy=4.348, SmoothL1=2.521
[Epoch 3][Batch 1299], Speed: 129.660 samples/sec, CrossEntropy=4.342, SmoothL1=2.516
[Epoch 3][Batch 1399], Speed: 177.566 samples/sec, CrossEntropy=4.336, SmoothL1=2.514
[Epoch 3][Batch 1499], Speed: 143.044 samples/sec, CrossEntropy=4.335, SmoothL1=2.511
[Epoch 3][Batch 1599], Speed: 141.468 samples/sec, CrossEntropy=4.329, SmoothL1=2.509
[Epoch 3][Batch 1699], Speed: 184.068 samples/sec, CrossEntropy=4.325, SmoothL1=2.505
[Epoch 3][Batch 1799], Speed: 164.598 samples/sec, CrossEntropy=4.323, SmoothL1=2.505
[Epoch 3][Batch 1899], Speed: 132.999 samples/sec, CrossEntropy=4.319, SmoothL1=2.506
[Epoch 3][Batch 1999], Speed: 165.903 samples/sec, CrossEntropy=4.315, SmoothL1=2.505
[Epoch 3][Batch 2099], Speed: 187.009 samples/sec, CrossEntropy=4.312, SmoothL1=2.504
[Epoch 3][Batch 2199], Speed: 142.093 samples/sec, CrossEntropy=4.307, SmoothL1=2.504
[Epoch 3][Batch 2299], Speed: 188.562 samples/sec, CrossEntropy=4.305, SmoothL1=2.503
[Epoch 3][Batch 2399], Speed: 190.472 samples/sec, CrossEntropy=4.302, SmoothL1=2.502
[Epoch 3][Batch 2499], Speed: 173.918 samples/sec, CrossEntropy=4.298, SmoothL1=2.502
[Epoch 3][Batch 2599], Speed: 147.819 samples/sec, CrossEntropy=4.294, SmoothL1=2.499
[Epoch 3][Batch 2699], Speed: 179.638 samples/sec, CrossEntropy=4.289, SmoothL1=2.498
[Epoch 3][Batch 2799], Speed: 164.736 samples/sec, CrossEntropy=4.287, SmoothL1=2.497
[Epoch 3][Batch 2899], Speed: 163.170 samples/sec, CrossEntropy=4.283, SmoothL1=2.495
[Epoch 3][Batch 2999], Speed: 187.835 samples/sec, CrossEntropy=4.280, SmoothL1=2.495
[Epoch 3][Batch 3099], Speed: 169.936 samples/sec, CrossEntropy=4.277, SmoothL1=2.494
[Epoch 3][Batch 3199], Speed: 143.867 samples/sec, CrossEntropy=4.274, SmoothL1=2.492
[Epoch 3][Batch 3299], Speed: 111.016 samples/sec, CrossEntropy=4.271, SmoothL1=2.488
[Epoch 3][Batch 3399], Speed: 176.092 samples/sec, CrossEntropy=4.268, SmoothL1=2.489
[Epoch 3][Batch 3499], Speed: 219.755 samples/sec, CrossEntropy=4.264, SmoothL1=2.489
[Epoch 3][Batch 3599], Speed: 218.713 samples/sec, CrossEntropy=4.261, SmoothL1=2.488
[Epoch 3] Training cost: 775.831, CrossEntropy=4.259, SmoothL1=2.487
[Epoch 4][Batch 99], Speed: 100.564 samples/sec, CrossEntropy=4.139, SmoothL1=2.385
[Epoch 4][Batch 199], Speed: 95.272 samples/sec, CrossEntropy=4.143, SmoothL1=2.391
[Epoch 4][Batch 299], Speed: 146.674 samples/sec, CrossEntropy=4.150, SmoothL1=2.403
[Epoch 4][Batch 399], Speed: 130.884 samples/sec, CrossEntropy=4.148, SmoothL1=2.426
[Epoch 4][Batch 499], Speed: 167.631 samples/sec, CrossEntropy=4.138, SmoothL1=2.416
[Epoch 4][Batch 599], Speed: 184.493 samples/sec, CrossEntropy=4.140, SmoothL1=2.420
[Epoch 4][Batch 699], Speed: 167.617 samples/sec, CrossEntropy=4.138, SmoothL1=2.426
[Epoch 4][Batch 799], Speed: 113.251 samples/sec, CrossEntropy=4.129, SmoothL1=2.424
[Epoch 4][Batch 899], Speed: 183.857 samples/sec, CrossEntropy=4.121, SmoothL1=2.421
[Epoch 4][Batch 999], Speed: 151.811 samples/sec, CrossEntropy=4.116, SmoothL1=2.419
[Epoch 4][Batch 1099], Speed: 108.464 samples/sec, CrossEntropy=4.117, SmoothL1=2.423
[Epoch 4][Batch 1199], Speed: 195.801 samples/sec, CrossEntropy=4.114, SmoothL1=2.428
[Epoch 4][Batch 1299], Speed: 149.767 samples/sec, CrossEntropy=4.112, SmoothL1=2.426
[Epoch 4][Batch 1399], Speed: 146.661 samples/sec, CrossEntropy=4.109, SmoothL1=2.424
[Epoch 4][Batch 1499], Speed: 190.778 samples/sec, CrossEntropy=4.109, SmoothL1=2.426
[Epoch 4][Batch 1599], Speed: 182.892 samples/sec, CrossEntropy=4.107, SmoothL1=2.426
[Epoch 4][Batch 1699], Speed: 159.456 samples/sec, CrossEntropy=4.103, SmoothL1=2.425
[Epoch 4][Batch 1799], Speed: 166.015 samples/sec, CrossEntropy=4.102, SmoothL1=2.425
[Epoch 4][Batch 1899], Speed: 180.508 samples/sec, CrossEntropy=4.100, SmoothL1=2.423
[Epoch 4][Batch 1999], Speed: 152.278 samples/sec, CrossEntropy=4.095, SmoothL1=2.424
[Epoch 4][Batch 2099], Speed: 127.908 samples/sec, CrossEntropy=4.094, SmoothL1=2.422
[Epoch 4][Batch 2199], Speed: 197.013 samples/sec, CrossEntropy=4.090, SmoothL1=2.422
[Epoch 4][Batch 2299], Speed: 141.859 samples/sec, CrossEntropy=4.087, SmoothL1=2.421
[Epoch 4][Batch 2399], Speed: 102.271 samples/sec, CrossEntropy=4.085, SmoothL1=2.419
[Epoch 4][Batch 2499], Speed: 192.386 samples/sec, CrossEntropy=4.083, SmoothL1=2.418
[Epoch 4][Batch 2599], Speed: 191.103 samples/sec, CrossEntropy=4.081, SmoothL1=2.417
[Epoch 4][Batch 2699], Speed: 131.940 samples/sec, CrossEntropy=4.080, SmoothL1=2.417
[Epoch 4][Batch 2799], Speed: 198.620 samples/sec, CrossEntropy=4.078, SmoothL1=2.418
[Epoch 4][Batch 2899], Speed: 170.911 samples/sec, CrossEntropy=4.075, SmoothL1=2.417
[Epoch 4][Batch 2999], Speed: 146.472 samples/sec, CrossEntropy=4.073, SmoothL1=2.417
[Epoch 4][Batch 3099], Speed: 106.052 samples/sec, CrossEntropy=4.072, SmoothL1=2.416
[Epoch 4][Batch 3199], Speed: 188.883 samples/sec, CrossEntropy=4.070, SmoothL1=2.415
[Epoch 4][Batch 3299], Speed: 164.576 samples/sec, CrossEntropy=4.067, SmoothL1=2.415
[Epoch 4][Batch 3399], Speed: 113.527 samples/sec, CrossEntropy=4.065, SmoothL1=2.415
[Epoch 4][Batch 3499], Speed: 220.128 samples/sec, CrossEntropy=4.063, SmoothL1=2.413
[Epoch 4][Batch 3599], Speed: 219.104 samples/sec, CrossEntropy=4.060, SmoothL1=2.412
[Epoch 4] Training cost: 780.631, CrossEntropy=4.059, SmoothL1=2.411
