Namespace(batch_size=8, dataset='coco', epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, val_interval=26, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 4199], Speed: 12.178 samples/sec, RPN_Conf=0.155,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.630,RCNN_SmoothL1=0.346,RPNAcc=0.939,RPNL1Loss=0.474,RCNNAcc=0.831,RCNNL1Loss=1.582
[Epoch 0][Batch 4299], Speed: 12.121 samples/sec, RPN_Conf=0.154,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.627,RCNN_SmoothL1=0.345,RPNAcc=0.939,RPNL1Loss=0.473,RCNNAcc=0.831,RCNNL1Loss=1.575
[Epoch 0][Batch 4399], Speed: 11.917 samples/sec, RPN_Conf=0.153,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.624,RCNN_SmoothL1=0.343,RPNAcc=0.939,RPNL1Loss=0.471,RCNNAcc=0.832,RCNNL1Loss=1.568
[Epoch 0][Batch 4499], Speed: 11.899 samples/sec, RPN_Conf=0.152,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.621,RCNN_SmoothL1=0.342,RPNAcc=0.940,RPNL1Loss=0.470,RCNNAcc=0.832,RCNNL1Loss=1.561
[Epoch 0][Batch 4599], Speed: 12.161 samples/sec, RPN_Conf=0.152,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.619,RCNN_SmoothL1=0.341,RPNAcc=0.940,RPNL1Loss=0.470,RCNNAcc=0.832,RCNNL1Loss=1.555
[Epoch 0][Batch 4699], Speed: 11.884 samples/sec, RPN_Conf=0.151,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.617,RCNN_SmoothL1=0.340,RPNAcc=0.940,RPNL1Loss=0.469,RCNNAcc=0.833,RCNNL1Loss=1.548
[Epoch 0][Batch 4799], Speed: 12.048 samples/sec, RPN_Conf=0.150,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.615,RCNN_SmoothL1=0.339,RPNAcc=0.940,RPNL1Loss=0.467,RCNNAcc=0.833,RCNNL1Loss=1.541
[Epoch 0][Batch 4899], Speed: 11.851 samples/sec, RPN_Conf=0.150,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.612,RCNN_SmoothL1=0.337,RPNAcc=0.941,RPNL1Loss=0.466,RCNNAcc=0.834,RCNNL1Loss=1.535
[Epoch 0][Batch 4999], Speed: 11.818 samples/sec, RPN_Conf=0.149,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.610,RCNN_SmoothL1=0.336,RPNAcc=0.941,RPNL1Loss=0.465,RCNNAcc=0.834,RCNNL1Loss=1.528
[Epoch 0][Batch 5099], Speed: 12.114 samples/sec, RPN_Conf=0.148,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.608,RCNN_SmoothL1=0.335,RPNAcc=0.941,RPNL1Loss=0.464,RCNNAcc=0.834,RCNNL1Loss=1.521
