Namespace(batch_size=8, dataset='coco', epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, mixup=False, momentum=0.9, network='resnet50_v1b', no_mixup_epochs=20, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet50_v1b_coco', seed=233, start_epoch=0, val_interval=26, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 2899], Speed: 15.169 samples/sec, RPN_Conf=0.184,RPN_SmoothL1=0.126,RCNN_CrossEntropy=0.691,RCNN_SmoothL1=0.363,RPNAcc=0.924,RPNL1Loss=0.498,RCNNAcc=0.825,RCNNL1Loss=1.741
[Epoch 0][Batch 2999], Speed: 15.283 samples/sec, RPN_Conf=0.183,RPN_SmoothL1=0.126,RCNN_CrossEntropy=0.686,RCNN_SmoothL1=0.361,RPNAcc=0.925,RPNL1Loss=0.497,RCNNAcc=0.826,RCNNL1Loss=1.729
[Epoch 0][Batch 3099], Speed: 15.272 samples/sec, RPN_Conf=0.182,RPN_SmoothL1=0.126,RCNN_CrossEntropy=0.682,RCNN_SmoothL1=0.360,RPNAcc=0.925,RPNL1Loss=0.496,RCNNAcc=0.826,RCNNL1Loss=1.719
[Epoch 0][Batch 3199], Speed: 15.224 samples/sec, RPN_Conf=0.181,RPN_SmoothL1=0.125,RCNN_CrossEntropy=0.679,RCNN_SmoothL1=0.358,RPNAcc=0.925,RPNL1Loss=0.494,RCNNAcc=0.826,RCNNL1Loss=1.708
[Epoch 0][Batch 3299], Speed: 15.209 samples/sec, RPN_Conf=0.181,RPN_SmoothL1=0.125,RCNN_CrossEntropy=0.675,RCNN_SmoothL1=0.357,RPNAcc=0.926,RPNL1Loss=0.492,RCNNAcc=0.827,RCNNL1Loss=1.698
[Epoch 0][Batch 3399], Speed: 15.390 samples/sec, RPN_Conf=0.180,RPN_SmoothL1=0.125,RCNN_CrossEntropy=0.671,RCNN_SmoothL1=0.355,RPNAcc=0.926,RPNL1Loss=0.491,RCNNAcc=0.827,RCNNL1Loss=1.689
[Epoch 0][Batch 3499], Speed: 15.225 samples/sec, RPN_Conf=0.179,RPN_SmoothL1=0.124,RCNN_CrossEntropy=0.667,RCNN_SmoothL1=0.354,RPNAcc=0.926,RPNL1Loss=0.490,RCNNAcc=0.828,RCNNL1Loss=1.680
[Epoch 0][Batch 3599], Speed: 15.204 samples/sec, RPN_Conf=0.178,RPN_SmoothL1=0.124,RCNN_CrossEntropy=0.664,RCNN_SmoothL1=0.352,RPNAcc=0.927,RPNL1Loss=0.488,RCNNAcc=0.828,RCNNL1Loss=1.671
[Epoch 0][Batch 3699], Speed: 15.008 samples/sec, RPN_Conf=0.178,RPN_SmoothL1=0.124,RCNN_CrossEntropy=0.661,RCNN_SmoothL1=0.351,RPNAcc=0.927,RPNL1Loss=0.488,RCNNAcc=0.828,RCNNL1Loss=1.663
[Epoch 0][Batch 3799], Speed: 15.044 samples/sec, RPN_Conf=0.177,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.658,RCNN_SmoothL1=0.349,RPNAcc=0.927,RPNL1Loss=0.487,RCNNAcc=0.829,RCNNL1Loss=1.655
[Epoch 0][Batch 3899], Speed: 15.148 samples/sec, RPN_Conf=0.176,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.655,RCNN_SmoothL1=0.348,RPNAcc=0.928,RPNL1Loss=0.486,RCNNAcc=0.829,RCNNL1Loss=1.647
[Epoch 0][Batch 3999], Speed: 15.240 samples/sec, RPN_Conf=0.175,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.652,RCNN_SmoothL1=0.347,RPNAcc=0.928,RPNL1Loss=0.485,RCNNAcc=0.830,RCNNL1Loss=1.638
[Epoch 0][Batch 4099], Speed: 15.142 samples/sec, RPN_Conf=0.175,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.650,RCNN_SmoothL1=0.345,RPNAcc=0.928,RPNL1Loss=0.484,RCNNAcc=0.830,RCNNL1Loss=1.631
[Epoch 0][Batch 4199], Speed: 14.916 samples/sec, RPN_Conf=0.174,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.647,RCNN_SmoothL1=0.344,RPNAcc=0.928,RPNL1Loss=0.483,RCNNAcc=0.830,RCNNL1Loss=1.623
[Epoch 0][Batch 4299], Speed: 14.921 samples/sec, RPN_Conf=0.174,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.644,RCNN_SmoothL1=0.343,RPNAcc=0.929,RPNL1Loss=0.482,RCNNAcc=0.831,RCNNL1Loss=1.617
[Epoch 0][Batch 4399], Speed: 15.013 samples/sec, RPN_Conf=0.173,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.642,RCNN_SmoothL1=0.342,RPNAcc=0.929,RPNL1Loss=0.481,RCNNAcc=0.831,RCNNL1Loss=1.610
[Epoch 0][Batch 4499], Speed: 14.993 samples/sec, RPN_Conf=0.172,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.639,RCNN_SmoothL1=0.340,RPNAcc=0.929,RPNL1Loss=0.480,RCNNAcc=0.831,RCNNL1Loss=1.603
[Epoch 0][Batch 4599], Speed: 14.943 samples/sec, RPN_Conf=0.172,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.637,RCNN_SmoothL1=0.339,RPNAcc=0.929,RPNL1Loss=0.480,RCNNAcc=0.832,RCNNL1Loss=1.598
[Epoch 0][Batch 4699], Speed: 15.200 samples/sec, RPN_Conf=0.171,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.635,RCNN_SmoothL1=0.338,RPNAcc=0.930,RPNL1Loss=0.479,RCNNAcc=0.832,RCNNL1Loss=1.591
[Epoch 0][Batch 4799], Speed: 15.080 samples/sec, RPN_Conf=0.171,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.632,RCNN_SmoothL1=0.337,RPNAcc=0.930,RPNL1Loss=0.478,RCNNAcc=0.832,RCNNL1Loss=1.585
[Epoch 0][Batch 4899], Speed: 15.132 samples/sec, RPN_Conf=0.170,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.630,RCNN_SmoothL1=0.336,RPNAcc=0.930,RPNL1Loss=0.477,RCNNAcc=0.833,RCNNL1Loss=1.579
[Epoch 0][Batch 4999], Speed: 14.876 samples/sec, RPN_Conf=0.170,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.628,RCNN_SmoothL1=0.335,RPNAcc=0.930,RPNL1Loss=0.476,RCNNAcc=0.833,RCNNL1Loss=1.572
[Epoch 0][Batch 5099], Speed: 15.152 samples/sec, RPN_Conf=0.169,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.626,RCNN_SmoothL1=0.334,RPNAcc=0.931,RPNL1Loss=0.475,RCNNAcc=0.833,RCNNL1Loss=1.566
[Epoch 0][Batch 5199], Speed: 15.155 samples/sec, RPN_Conf=0.169,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.624,RCNN_SmoothL1=0.333,RPNAcc=0.931,RPNL1Loss=0.475,RCNNAcc=0.833,RCNNL1Loss=1.561
[Epoch 0][Batch 5299], Speed: 15.203 samples/sec, RPN_Conf=0.168,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.622,RCNN_SmoothL1=0.332,RPNAcc=0.931,RPNL1Loss=0.474,RCNNAcc=0.834,RCNNL1Loss=1.555
[Epoch 0][Batch 5399], Speed: 15.293 samples/sec, RPN_Conf=0.168,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.620,RCNN_SmoothL1=0.331,RPNAcc=0.931,RPNL1Loss=0.473,RCNNAcc=0.834,RCNNL1Loss=1.550
[Epoch 0][Batch 5499], Speed: 15.073 samples/sec, RPN_Conf=0.167,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.618,RCNN_SmoothL1=0.330,RPNAcc=0.931,RPNL1Loss=0.473,RCNNAcc=0.834,RCNNL1Loss=1.544
