Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_resnet50_v1_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 4][Batch 2599], Speed: 123.544 samples/sec, CrossEntropy=3.625, SmoothL1=2.134
[Epoch 4][Batch 2699], Speed: 142.719 samples/sec, CrossEntropy=3.624, SmoothL1=2.135
[Epoch 4][Batch 2799], Speed: 121.039 samples/sec, CrossEntropy=3.623, SmoothL1=2.135
[Epoch 4][Batch 2899], Speed: 119.228 samples/sec, CrossEntropy=3.622, SmoothL1=2.134
[Epoch 4][Batch 2999], Speed: 118.537 samples/sec, CrossEntropy=3.621, SmoothL1=2.134
[Epoch 4][Batch 3099], Speed: 134.821 samples/sec, CrossEntropy=3.619, SmoothL1=2.132
[Epoch 4][Batch 3199], Speed: 116.874 samples/sec, CrossEntropy=3.618, SmoothL1=2.132
[Epoch 4][Batch 3299], Speed: 125.870 samples/sec, CrossEntropy=3.617, SmoothL1=2.132
[Epoch 4][Batch 3399], Speed: 79.556 samples/sec, CrossEntropy=3.615, SmoothL1=2.131
[Epoch 4][Batch 3499], Speed: 145.892 samples/sec, CrossEntropy=3.613, SmoothL1=2.129
[Epoch 4][Batch 3599], Speed: 146.234 samples/sec, CrossEntropy=3.612, SmoothL1=2.130
[Epoch 4] Training cost: 1008.484, CrossEntropy=3.611, SmoothL1=2.130
[Epoch 5][Batch 99], Speed: 95.142 samples/sec, CrossEntropy=3.505, SmoothL1=2.089
[Epoch 5][Batch 199], Speed: 119.242 samples/sec, CrossEntropy=3.514, SmoothL1=2.100
[Epoch 5][Batch 299], Speed: 131.780 samples/sec, CrossEntropy=3.520, SmoothL1=2.086
[Epoch 5][Batch 399], Speed: 123.843 samples/sec, CrossEntropy=3.518, SmoothL1=2.105
[Epoch 5][Batch 499], Speed: 123.469 samples/sec, CrossEntropy=3.533, SmoothL1=2.115
[Epoch 5][Batch 599], Speed: 129.354 samples/sec, CrossEntropy=3.532, SmoothL1=2.113
[Epoch 5][Batch 699], Speed: 134.913 samples/sec, CrossEntropy=3.533, SmoothL1=2.108
[Epoch 5][Batch 799], Speed: 123.905 samples/sec, CrossEntropy=3.537, SmoothL1=2.105
[Epoch 5][Batch 899], Speed: 121.076 samples/sec, CrossEntropy=3.535, SmoothL1=2.101
[Epoch 5][Batch 999], Speed: 124.244 samples/sec, CrossEntropy=3.539, SmoothL1=2.098
[Epoch 5][Batch 1099], Speed: 129.368 samples/sec, CrossEntropy=3.536, SmoothL1=2.101
[Epoch 5][Batch 1199], Speed: 122.218 samples/sec, CrossEntropy=3.537, SmoothL1=2.097
[Epoch 5][Batch 1299], Speed: 120.769 samples/sec, CrossEntropy=3.537, SmoothL1=2.095
[Epoch 5][Batch 1399], Speed: 135.927 samples/sec, CrossEntropy=3.537, SmoothL1=2.096
[Epoch 5][Batch 1499], Speed: 125.897 samples/sec, CrossEntropy=3.539, SmoothL1=2.096
[Epoch 5][Batch 1599], Speed: 121.940 samples/sec, CrossEntropy=3.539, SmoothL1=2.097
[Epoch 5][Batch 1699], Speed: 117.295 samples/sec, CrossEntropy=3.539, SmoothL1=2.094
