[Epoch 0][Batch 3099], Speed: 6.569 samples/sec, RPN_Conf=0.084,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.498,RCNN_SmoothL1=0.207,RCNN_Mask=0.449,RPNAcc=0.967,RPNL1Loss=0.475,RCNNAcc=0.897,RCNNL1Loss=1.767,MaskAcc=0.779,MaskFGAcc=0.623
[Epoch 0][Batch 3199], Speed: 6.585 samples/sec, RPN_Conf=0.084,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.496,RCNN_SmoothL1=0.207,RCNN_Mask=0.447,RPNAcc=0.967,RPNL1Loss=0.473,RCNNAcc=0.896,RCNNL1Loss=1.753,MaskAcc=0.781,MaskFGAcc=0.622
[Epoch 0][Batch 3299], Speed: 6.691 samples/sec, RPN_Conf=0.083,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.493,RCNN_SmoothL1=0.206,RCNN_Mask=0.444,RPNAcc=0.967,RPNL1Loss=0.471,RCNNAcc=0.896,RCNNL1Loss=1.739,MaskAcc=0.782,MaskFGAcc=0.621
[Epoch 0][Batch 3399], Speed: 6.656 samples/sec, RPN_Conf=0.083,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.490,RCNN_SmoothL1=0.205,RCNN_Mask=0.442,RPNAcc=0.968,RPNL1Loss=0.470,RCNNAcc=0.896,RCNNL1Loss=1.727,MaskAcc=0.784,MaskFGAcc=0.619
[Epoch 0][Batch 3499], Speed: 6.673 samples/sec, RPN_Conf=0.082,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.487,RCNN_SmoothL1=0.204,RCNN_Mask=0.439,RPNAcc=0.968,RPNL1Loss=0.468,RCNNAcc=0.897,RCNNL1Loss=1.714,MaskAcc=0.785,MaskFGAcc=0.618
[Epoch 0][Batch 3599], Speed: 6.613 samples/sec, RPN_Conf=0.082,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.484,RCNN_SmoothL1=0.203,RCNN_Mask=0.437,RPNAcc=0.968,RPNL1Loss=0.466,RCNNAcc=0.897,RCNNL1Loss=1.702,MaskAcc=0.787,MaskFGAcc=0.617
[Epoch 0][Batch 3699], Speed: 6.693 samples/sec, RPN_Conf=0.081,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.482,RCNN_SmoothL1=0.202,RCNN_Mask=0.435,RPNAcc=0.968,RPNL1Loss=0.464,RCNNAcc=0.896,RCNNL1Loss=1.691,MaskAcc=0.788,MaskFGAcc=0.616
[Epoch 0][Batch 3799], Speed: 6.678 samples/sec, RPN_Conf=0.081,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.480,RCNN_SmoothL1=0.202,RCNN_Mask=0.433,RPNAcc=0.968,RPNL1Loss=0.463,RCNNAcc=0.896,RCNNL1Loss=1.679,MaskAcc=0.790,MaskFGAcc=0.615
[Epoch 0][Batch 3899], Speed: 6.636 samples/sec, RPN_Conf=0.080,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.477,RCNN_SmoothL1=0.201,RCNN_Mask=0.431,RPNAcc=0.969,RPNL1Loss=0.462,RCNNAcc=0.897,RCNNL1Loss=1.669,MaskAcc=0.791,MaskFGAcc=0.613
[Epoch 0][Batch 3999], Speed: 6.586 samples/sec, RPN_Conf=0.080,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.475,RCNN_SmoothL1=0.200,RCNN_Mask=0.429,RPNAcc=0.969,RPNL1Loss=0.460,RCNNAcc=0.897,RCNNL1Loss=1.658,MaskAcc=0.792,MaskFGAcc=0.613
